时间,商品名称,库存变化,单笔销量
2026-05-15 15:02:22,台湾,初始库存：-12,12
2026-05-15 15:02:22,国际,初始库存：10000,0
2026-05-15 15:02:35,台湾,-12 -> -14,2
2026-05-15 15:12:45,台湾,-14 -> -15,1
2026-05-15 15:27:44,台湾,-15 -> -16,1
2026-05-15 16:18:06,台湾,-16 -> -330,314
2026-05-15 18:03:27,台湾,-330 -> -331,1
2026-05-15 18:48:15,台湾,-331 -> -333,2
2026-05-15 19:03:20,台湾,-333 -> -334,1
2026-05-15 19:53:32,台湾,-334 -> -335,1
2026-05-15 20:48:38,台湾,-335 -> -336,1
2026-05-15 21:28:43,台湾,-336 -> -339,3
2026-05-15 23:19:00,台湾,-339 -> -340,1
2026-05-16 00:24:05,台湾,-340 -> -341,1
2026-05-16 00:39:06,台湾,-341 -> -347,6
2026-05-16 00:49:11,台湾,-347 -> -399,52
