时间,商品名称,库存变化,单笔销量
2026-05-15 15:02:22,台湾,初始库存：-4,4
2026-05-15 15:02:22,国际,初始库存：10000,0
2026-05-15 15:12:45,台湾,-4 -> -5,1
2026-05-15 15:27:44,台湾,-5 -> -6,1
2026-05-15 16:13:03,台湾,-6 -> -8,2
2026-05-15 17:28:29,台湾,-8 -> -10,2
2026-05-15 18:24:02,台湾,-10 -> -11,1
2026-05-15 20:18:39,台湾,-11 -> -12,1
2026-05-15 21:38:53,台湾,-12 -> -13,1
2026-05-16 10:30:03,台湾,-13 -> -14,1
2026-05-16 13:05:20,台湾,-14 -> -15,1
2026-05-16 13:20:29,台湾,-15 -> -16,1
2026-05-16 13:35:27,台湾,-16 -> -17,1
2026-05-16 20:01:15,台湾,-17 -> -19,2
2026-05-17 00:46:41,台湾,-19 -> -25,6
